 R, CoupledClusterDoubles, CoupledClusterDoublesSparse, CoupledClusterDoublesOptimized
 3,                0.0287,                      0.3692,                         0.0360
 4,                0.7353,                      0.3797,                         0.0321
 5,                6.1359,                      0.2501,                         0.0328
 6,               30.4953,                      0.3145,                         0.0260
 7,              113.0556,                      0.6115,                         0.1073
 8,              342.3112,                      1.0046,                         0.1893
 9,              950.6720,                      1.8300,                         0.4660
10,                      ,                      3.5754,                         1.0342
11,                      ,                      6.8012,                         2.2140
12,                      ,                     13.0925,                         5.5238
